benchmark_id,content_sha256,parse_status,parse_error,file_bytes,line_count,node_count,dataset_year,producer,suite,state_count,scalar_state_count,array_state_count,input_count,named_state_count,clean_state_count,named_state_ratio,clean_named_ratio,software_origin,has_array,array_sort_count,bad_count,constraint_count,state_widths,max_state_width,add_count,sub_count,mul_count,mul_const_const_count,mul_const_var_count,mul_var_var_count,divrem_count,ite_count,read_count,write_count,arithmetic_class,size_bucket,operator_counts_json,parse_time_sec
2020/hwmcc20/btor2/array/2019/mann/safe/arbitrated_fifos_n2d8w8.btor,481fa14514e93007252fba94ca5168c2c8d634b12f86e81b1d56a7de14a4c5da,ok,,11421,457,455,2020,mann,safe,22,20,2,7,14,1,0.636364,0.071429,0,1,1,1,5,1;4;8,8,10,3,0,0,0,0,0,37,6,2,affine,lt1k,"{""add"": 10, ""and"": 28, ""concat"": 34, ""const"": 7, ""eq"": 6, ""ite"": 37, ""neq"": 2, ""not"": 27, ""or"": 24, ""read"": 6, ""redor"": 5, ""slice"": 20, ""srl"": 2, ""sub"": 3, ""uext"": 173, ""ugte"": 2, ""ult"": 2, ""write"": 2}",0.105484
2020/hwmcc20/btor2/array/2019/mann/unknown/ridecore_array_unknown.btor,7397a8fe424d80557c0c0ccd479c8c16628b1a7b93e7032c649fbbe3a3e98f90,ok,,1306439,44602,44600,2020,mann,unknown,935,923,12,3,12,0,0.012834,0.000000,0,1,8,1,3,1;2;3;4;5;6;7;8;10;16;31;32;64;128,128,51,10,4,0,0,4,0,25798,108,21,nonlinear,10k-100k,"{""add"": 51, ""and"": 1128, ""concat"": 3568, ""const"": 124, ""eq"": 1319, ""implies"": 1, ""ite"": 25798, ""mul"": 4, ""neq"": 4, ""not"": 580, ""or"": 464, ""read"": 108, ""redor"": 194, ""sext"": 6, ""sgte"": 3, ""slice"": 2942, ""sll"": 18, ""slt"": 3, ""sra"": 3, ""srl"": 207, ""sub"": 10, ""uext"": 5723, ""ugt"": 9, ""ugte"": 5, ""ult"": 42, ""write"": 21, ""xor"": 5}",0.182182
2020/hwmcc20/btor2/array/2019/mann/unsafe/ridecore_array_unsafe.btor,64cf511e62852319b05013ccc566dc0454d8f18a9f791fa19b47718ee8f1725e,ok,,1306964,44625,44623,2020,mann,unsafe,948,936,12,3,12,0,0.012658,0.000000,0,1,8,1,3,1;2;3;4;5;6;7;8;10;16;31;32;64;128,128,51,10,4,0,0,4,0,25795,108,21,nonlinear,10k-100k,"{""add"": 51, ""and"": 1128, ""concat"": 3581, ""const"": 124, ""eq"": 1319, ""implies"": 1, ""ite"": 25795, ""mul"": 4, ""neq"": 4, ""not"": 580, ""or"": 464, ""read"": 108, ""redor"": 194, ""sext"": 6, ""sgte"": 3, ""slice"": 2942, ""sll"": 18, ""slt"": 3, ""sra"": 3, ""srl"": 207, ""sub"": 10, ""uext"": 5723, ""ugt"": 9, ""ugte"": 5, ""ult"": 42, ""write"": 21, ""xor"": 5}",0.152524
2020/hwmcc20/btor2/array/2019/wolf/2018A/VexRiscv-regch0-15-p0.btor,2a59484f2a62c51a2b63e87c84a7a5440faf01e127786bfae7670fa2c1e4eaaf,ok,,52868,1937,1935,2020,wolf,2018A,104,103,1,2,88,0,0.846154,0.000000,0,1,1,1,3,1;2;4;5;8;32;64,64,7,0,0,0,0,0,0,192,3,1,affine,1k-10k,"{""add"": 7, ""and"": 94, ""concat"": 360, ""const"": 79, ""eq"": 81, ""ite"": 192, ""neq"": 1, ""not"": 42, ""or"": 21, ""read"": 3, ""redor"": 31, ""sext"": 1, ""slice"": 267, ""sll"": 1, ""sra"": 1, ""uext"": 500, ""ult"": 2, ""write"": 1, ""xor"": 1}",0.094491
2020/hwmcc20/btor2/array/2019/wolf/2018A/VexRiscv-regch0-15-p1.btor,46bbcda5a147e96663a86a96779c5315010d17a5cae5680b844244af600b95c6,ok,,52868,1937,1935,2020,wolf,2018A,104,103,1,2,88,0,0.846154,0.000000,0,1,1,1,3,1;2;4;5;8;32;64,64,7,0,0,0,0,0,0,192,3,1,affine,1k-10k,"{""add"": 7, ""and"": 94, ""concat"": 360, ""const"": 79, ""eq"": 81, ""ite"": 192, ""neq"": 1, ""not"": 42, ""or"": 21, ""read"": 3, ""redor"": 31, ""sext"": 1, ""slice"": 267, ""sll"": 1, ""sra"": 1, ""uext"": 500, ""ult"": 2, ""write"": 1, ""xor"": 1}",0.108473
2020/hwmcc20/btor2/array/2019/wolf/2018A/VexRiscv-regch0-20-p0.btor,c8b48ea357da59e5ffad102b30b6896298223af13982e5753b2c057e7e4c3263,ok,,52868,1937,1935,2020,wolf,2018A,104,103,1,2,88,0,0.846154,0.000000,0,1,1,1,3,1;2;4;5;8;32;64,64,7,0,0,0,0,0,0,192,3,1,affine,1k-10k,"{""add"": 7, ""and"": 94, ""concat"": 360, ""const"": 79, ""eq"": 81, ""ite"": 192, ""neq"": 1, ""not"": 42, ""or"": 21, ""read"": 3, ""redor"": 31, ""sext"": 1, ""slice"": 267, ""sll"": 1, ""sra"": 1, ""uext"": 500, ""ult"": 2, ""write"": 1, ""xor"": 1}",0.110530
2020/hwmcc20/btor2/array/2019/wolf/2018A/picorv32-check-p01.btor,dbea53f3189748791164505beffd436b284ab44113da35fd002616be7ad73ee1,ok,,42987,1765,1763,2020,wolf,2018A,153,152,1,28,152,3,0.993464,0.019737,0,1,1,1,2,1;2;4;5;8;32;64,64,7,2,0,0,0,0,0,462,3,1,affine,1k-10k,"{""add"": 7, ""and"": 106, ""concat"": 249, ""const"": 103, ""eq"": 39, ""ite"": 462, ""neq"": 1, ""not"": 54, ""or"": 28, ""read"": 3, ""redand"": 1, ""redor"": 38, ""slice"": 201, ""sll"": 1, ""slt"": 1, ""sub"": 2, ""uext"": 56, ""ult"": 1, ""write"": 1, ""xor"": 1}",0.087577
2020/hwmcc20/btor2/array/2019/wolf/2018A/picorv32-check-p06.btor,c6d9ef0b74457f08257ad61f8dd9a294572cdfefb768cea27bd1293eeb91e167,ok,,42987,1765,1763,2020,wolf,2018A,153,152,1,28,152,3,0.993464,0.019737,0,1,1,1,2,1;2;4;5;8;32;64,64,7,2,0,0,0,0,0,462,3,1,affine,1k-10k,"{""add"": 7, ""and"": 106, ""concat"": 249, ""const"": 103, ""eq"": 39, ""ite"": 462, ""neq"": 1, ""not"": 54, ""or"": 28, ""read"": 3, ""redand"": 1, ""redor"": 38, ""slice"": 201, ""sll"": 1, ""slt"": 1, ""sub"": 2, ""uext"": 56, ""ult"": 1, ""write"": 1, ""xor"": 1}",0.055283
2020/hwmcc20/btor2/array/2019/wolf/2018A/picorv32-check-p08.btor,48344c3aa86f0fa5456508ebbeae54944f972461652446ae251d5d4afd169b56,ok,,42987,1765,1763,2020,wolf,2018A,153,152,1,28,152,3,0.993464,0.019737,0,1,1,1,2,1;2;4;5;8;32;64,64,7,2,0,0,0,0,0,462,3,1,affine,1k-10k,"{""add"": 7, ""and"": 106, ""concat"": 249, ""const"": 103, ""eq"": 39, ""ite"": 462, ""neq"": 1, ""not"": 54, ""or"": 28, ""read"": 3, ""redand"": 1, ""redor"": 38, ""slice"": 201, ""sll"": 1, ""slt"": 1, ""sub"": 2, ""uext"": 56, ""ult"": 1, ""write"": 1, ""xor"": 1}",0.056524
2020/hwmcc20/btor2/array/2019/wolf/2018A/picorv32-check-p09.btor,6f70cddac9cc2676d862e4e23f9f206cffced9090c2c5a3b3c3e222766558522,ok,,42987,1765,1763,2020,wolf,2018A,153,152,1,28,152,3,0.993464,0.019737,0,1,1,1,2,1;2;4;5;8;32;64,64,7,2,0,0,0,0,0,462,3,1,affine,1k-10k,"{""add"": 7, ""and"": 106, ""concat"": 249, ""const"": 103, ""eq"": 39, ""ite"": 462, ""neq"": 1, ""not"": 54, ""or"": 28, ""read"": 3, ""redand"": 1, ""redor"": 38, ""slice"": 201, ""sll"": 1, ""slt"": 1, ""sub"": 2, ""uext"": 56, ""ult"": 1, ""write"": 1, ""xor"": 1}",0.108677
2020/hwmcc20/btor2/array/2019/wolf/2018A/picorv32-check-p10.btor,a572edfe1321e71a6986ac89789fcaa3eddeb040abade2a5870a942e2227f84e,ok,,42987,1765,1763,2020,wolf,2018A,153,152,1,28,152,3,0.993464,0.019737,0,1,1,1,2,1;2;4;5;8;32;64,64,7,2,0,0,0,0,0,462,3,1,affine,1k-10k,"{""add"": 7, ""and"": 106, ""concat"": 249, ""const"": 103, ""eq"": 39, ""ite"": 462, ""neq"": 1, ""not"": 54, ""or"": 28, ""read"": 3, ""redand"": 1, ""redor"": 38, ""slice"": 201, ""sll"": 1, ""slt"": 1, ""sub"": 2, ""uext"": 56, ""ult"": 1, ""write"": 1, ""xor"": 1}",0.110197
2020/hwmcc20/btor2/array/2019/wolf/2018A/picorv32-check-p14.btor,d2c0cd51004662d618e360594069ddd0379f537ba51b850c9672526685fb38b5,ok,,42987,1765,1763,2020,wolf,2018A,153,152,1,28,152,3,0.993464,0.019737,0,1,1,1,2,1;2;4;5;8;32;64,64,7,2,0,0,0,0,0,462,3,1,affine,1k-10k,"{""add"": 7, ""and"": 106, ""concat"": 249, ""const"": 103, ""eq"": 39, ""ite"": 462, ""neq"": 1, ""not"": 54, ""or"": 28, ""read"": 3, ""redand"": 1, ""redor"": 38, ""slice"": 201, ""sll"": 1, ""slt"": 1, ""sub"": 2, ""uext"": 56, ""ult"": 1, ""write"": 1, ""xor"": 1}",0.107697
2020/hwmcc20/btor2/array/2019/wolf/2018A/picorv32-check-p18.btor,8d7cb7f8a916fe7d99c30725a0fd850c2fab2998265b0580e2aef2fe2239c6a5,ok,,42987,1765,1763,2020,wolf,2018A,153,152,1,28,152,3,0.993464,0.019737,0,1,1,1,2,1;2;4;5;8;32;64,64,7,2,0,0,0,0,0,462,3,1,affine,1k-10k,"{""add"": 7, ""and"": 106, ""concat"": 249, ""const"": 103, ""eq"": 39, ""ite"": 462, ""neq"": 1, ""not"": 54, ""or"": 28, ""read"": 3, ""redand"": 1, ""redor"": 38, ""slice"": 201, ""sll"": 1, ""slt"": 1, ""sub"": 2, ""uext"": 56, ""ult"": 1, ""write"": 1, ""xor"": 1}",0.192771
2020/hwmcc20/btor2/array/2019/wolf/2018A/ponylink-slaveTXlen-unsat.btor,c561c213a2550f523f5a132e10cd862646151c5569512a4f5e38753e36689dbd,ok,,63921,2598,2596,2020,wolf,2018A,66,65,1,2,66,0,1.000000,0.000000,0,1,1,1,0,1;3;4;5;7;8;9;10;12;15;32;229,229,13,3,0,0,0,0,0,394,2,1,affine,1k-10k,"{""add"": 13, ""and"": 283, ""concat"": 354, ""const"": 58, ""eq"": 60, ""ite"": 394, ""neq"": 15, ""not"": 66, ""or"": 140, ""read"": 2, ""redand"": 1, ""redor"": 17, ""slice"": 326, ""sub"": 3, ""uext"": 243, ""ult"": 3, ""ulte"": 2, ""write"": 1, ""xor"": 239}",0.110873
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p00.btor,3477b892af5c610d13206359b6b6e8d400ff7f3be2b7f51609f50b547d256fe3,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.209888
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p01.btor,faeaed09871dd37bfe75f94202a31de0b2336714523d71764c38b26168acc989,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.116474
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p06.btor,1b9cb803e146885f912881caca2864bd22bf1961343b862fdc64344cedf7fac8,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.113760
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p26.btor,6189113f51b38be6f2154fc961484af85c74f07eb6063517ea18e764eae71cf7,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.112542
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p28.btor,39ecf436f9d2f5c25828bb8f2e6ee187a43db1e13eb38d88f8d2b12d727b128a,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.158627
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p29.btor,8f41106b7fb6259c3ee0965399ca706ce240acbbe72e267d7580df6883ffa4f9,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.113973
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p31.btor,893db9aa33994638889bf963e075bbe6e9ec43f0885517441a383a9fb943b27b,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.113774
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p34.btor,97b24c4fc3b0c606256d26a1b899d5b56b07744aa865e23db9e8b7a48afff617,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.113546
2020/hwmcc20/btor2/array/2019/wolf/2018A/zipcpu-zipmmu-p41.btor,67df39e5d3f750fecc0be5fe0de7b978ed77067d32d3d638a7914c8daf7bc56a,ok,,32840,1422,1420,2020,wolf,2018A,157,153,4,21,92,0,0.585987,0.000000,0,1,4,1,42,1;2;4;6;16;18;20;28;30;32,32,13,3,0,0,0,0,0,127,25,6,affine,1k-10k,"{""add"": 13, ""and"": 186, ""concat"": 95, ""const"": 19, ""eq"": 40, ""ite"": 127, ""not"": 153, ""or"": 96, ""read"": 25, ""redor"": 14, ""slice"": 45, ""srl"": 1, ""sub"": 3, ""uext"": 84, ""ugt"": 4, ""ugte"": 1, ""ult"": 7, ""ulte"": 2, ""write"": 6}",0.111343
